x,N
2.500000000000000000e+02,8.790090555009704083e+06
7.500000000000000000e+02,7.999577050606141798e+06
1.250000000000000000e+03,7.277536002130629495e+06
1.750000000000000000e+03,6.633407024966534227e+06
2.250000000000000000e+03,6.073157794835943729e+06
2.750000000000000000e+03,5.595008377633593045e+06
3.250000000000000000e+03,5.190024240914491937e+06
3.750000000000000000e+03,4.846501692740238272e+06
4.250000000000000000e+03,4.552863288857572712e+06
4.750000000000000000e+03,4.299270414314145222e+06
5.250000000000000000e+03,4.077887935045158956e+06
5.750000000000000000e+03,3.882679715401404537e+06
6.250000000000000000e+03,3.709011570181854535e+06
6.750000000000000000e+03,3.553278274112914223e+06
7.250000000000000000e+03,3.412641487982775550e+06
7.750000000000000000e+03,3.284846649351990316e+06
8.250000000000000000e+03,3.168075864114885684e+06
8.750000000000000000e+03,3.060851002607723232e+06
9.250000000000000000e+03,2.961956278999410104e+06
9.750000000000000000e+03,2.870382853344915435e+06
1.025000000000000000e+04,2.785285139335448388e+06
1.075000000000000000e+04,2.705948210258767474e+06
1.125000000000000000e+04,2.631763635101350024e+06
1.175000000000000000e+04,2.562209588494371623e+06
1.225000000000000000e+04,2.496835457297518849e+06
1.275000000000000000e+04,2.435249912077452522e+06
1.325000000000000000e+04,2.377111075647747144e+06
1.375000000000000000e+04,2.322118854391974397e+06
1.425000000000000000e+04,2.270008437496630009e+06
1.475000000000000000e+04,2.220545168741664849e+06
1.525000000000000000e+04,2.173520227065948304e+06
1.575000000000000000e+04,2.128747091406835243e+06
1.625000000000000000e+04,2.086058545264973771e+06
1.675000000000000000e+04,2.045304148570687277e+06
1.725000000000000000e+04,2.006348176107864594e+06
1.775000000000000000e+04,1.969067791910171043e+06
1.825000000000000000e+04,1.933351521693457849e+06
1.875000000000000000e+04,1.899097936177879572e+06
1.925000000000000000e+04,1.866214520419591339e+06
1.975000000000000000e+04,1.834616701046666130e+06
2.025000000000000000e+04,1.804226991755268537e+06
2.075000000000000000e+04,1.774974253082752926e+06
2.125000000000000000e+04,1.746793044428336434e+06
2.175000000000000000e+04,1.719623056745484238e+06
2.225000000000000000e+04,1.693408612046194728e+06
2.275000000000000000e+04,1.668098218641216401e+06
2.325000000000000000e+04,1.643644183054617140e+06
2.375000000000000000e+04,1.620002260832879925e+06
2.425000000000000000e+04,1.597131348296293058e+06
2.475000000000000000e+04,1.574993205226832069e+06
2.525000000000000000e+04,1.553552208109953441e+06
2.575000000000000000e+04,1.532775130103021394e+06
2.625000000000000000e+04,1.512630940712645184e+06
2.675000000000000000e+04,1.493090626603675308e+06
2.725000000000000000e+04,1.474127030301793246e+06
2.775000000000000000e+04,1.455714704102297314e+06
2.825000000000000000e+04,1.437829777782399906e+06
2.875000000000000000e+04,1.420449838246732485e+06
2.925000000000000000e+04,1.403553820377611788e+06
2.975000000000000000e+04,1.387121908009121194e+06
3.025000000000000000e+04,1.371135443160545779e+06
3.075000000000000000e+04,1.355576843328427756e+06
3.125000000000000000e+04,1.340429525867488002e+06
3.175000000000000000e+04,1.325677838728610426e+06
3.225000000000000000e+04,1.311306996959213400e+06
3.275000000000000000e+04,1.297303024133899249e+06
3.325000000000000000e+04,1.283652698691698955e+06
3.375000000000000000e+04,1.270343504552376224e+06
3.425000000000000000e+04,1.257363585556631908e+06
3.475000000000000000e+04,1.244701703287949786e+06
3.525000000000000000e+04,1.232347198081184179e+06
3.575000000000000000e+04,1.220289953036549268e+06
3.625000000000000000e+04,1.208520360669935588e+06
3.675000000000000000e+04,1.197029291944555007e+06
3.725000000000000000e+04,1.185808067426155554e+06
3.775000000000000000e+04,1.174848430597728584e+06
3.825000000000000000e+04,1.164142522940788418e+06
3.875000000000000000e+04,1.153682860775697278e+06
3.925000000000000000e+04,1.143462313577812864e+06
