x,N
2.500000000000000000e+02,8.790090555014468729e+06
7.500000000000000000e+02,7.999577050629925914e+06
1.250000000000000000e+03,7.277536002172086388e+06
1.750000000000000000e+03,6.633407025025428273e+06
2.250000000000000000e+03,6.073157794918778352e+06
2.750000000000000000e+03,5.595008377758969553e+06
3.250000000000000000e+03,5.190024241118828766e+06
3.750000000000000000e+03,4.846501693086127751e+06
4.250000000000000000e+03,4.552863289433350787e+06
4.750000000000000000e+03,4.299270415163389407e+06
5.250000000000000000e+03,4.077887936101611238e+06
5.750000000000000000e+03,3.882679716617699713e+06
6.250000000000000000e+03,3.709011571485680528e+06
6.750000000000000000e+03,3.553278275426371489e+06
7.250000000000000000e+03,3.412641489324947353e+06
7.750000000000000000e+03,3.284846650775795337e+06
8.250000000000000000e+03,3.168075865611999761e+06
8.750000000000000000e+03,3.060851004089441150e+06
9.250000000000000000e+03,2.961956280426394660e+06
9.750000000000000000e+03,2.870382854732242413e+06
1.025000000000000000e+04,2.785285140708864667e+06
1.075000000000000000e+04,2.705948211647872347e+06
1.125000000000000000e+04,2.631763636540448759e+06
1.175000000000000000e+04,2.562209590023643803e+06
1.225000000000000000e+04,2.496835458964187652e+06
1.275000000000000000e+04,2.435249913935014978e+06
1.325000000000000000e+04,2.377111077741724905e+06
1.375000000000000000e+04,2.322118856710232329e+06
1.425000000000000000e+04,2.270008440027124248e+06
1.475000000000000000e+04,2.220545171525481157e+06
1.525000000000000000e+04,2.173520230128657538e+06
1.575000000000000000e+04,2.128747094726849347e+06
1.625000000000000000e+04,2.086058548807443585e+06
1.675000000000000000e+04,2.045304152247871039e+06
1.725000000000000000e+04,2.006348179842370097e+06
1.775000000000000000e+04,1.969067795675909379e+06
1.825000000000000000e+04,1.933351525447211228e+06
1.875000000000000000e+04,1.899097939894262236e+06
1.925000000000000000e+04,1.866214524111170555e+06
1.975000000000000000e+04,1.834616704735264415e+06
2.025000000000000000e+04,1.804226995463777566e+06
2.075000000000000000e+04,1.774974256834772183e+06
2.125000000000000000e+04,1.746793048247584607e+06
2.175000000000000000e+04,1.719623060645428021e+06
2.225000000000000000e+04,1.693408616002101684e+06
2.275000000000000000e+04,1.668098222616960993e+06
2.325000000000000000e+04,1.643644187049689703e+06
2.375000000000000000e+04,1.620002264863160206e+06
2.425000000000000000e+04,1.597131352379643358e+06
2.475000000000000000e+04,1.574993209381760331e+06
2.525000000000000000e+04,1.553552212355640950e+06
2.575000000000000000e+04,1.532775134459416848e+06
2.625000000000000000e+04,1.512630945200594841e+06
2.675000000000000000e+04,1.493090631244800752e+06
2.725000000000000000e+04,1.474127035111148842e+06
2.775000000000000000e+04,1.455714709053649800e+06
2.825000000000000000e+04,1.437829782808723627e+06
2.875000000000000000e+04,1.420449843314211816e+06
2.925000000000000000e+04,1.403553825459592976e+06
2.975000000000000000e+04,1.387121913030654658e+06
3.025000000000000000e+04,1.371135448055000510e+06
3.075000000000000000e+04,1.355576848078657407e+06
3.125000000000000000e+04,1.340429530472184066e+06
3.175000000000000000e+04,1.325677843170365784e+06
3.225000000000000000e+04,1.311307001188654220e+06
3.275000000000000000e+04,1.297303028091309359e+06
3.325000000000000000e+04,1.283652702322424157e+06
3.375000000000000000e+04,1.270343507828312228e+06
3.425000000000000000e+04,1.257363588454271900e+06
3.475000000000000000e+04,1.244701705758296885e+06
3.525000000000000000e+04,1.232347200079174945e+06
3.575000000000000000e+04,1.220289954540973296e+06
3.625000000000000000e+04,1.208520361665959237e+06
3.675000000000000000e+04,1.197029292417051503e+06
3.725000000000000000e+04,1.185808067359277513e+06
3.775000000000000000e+04,1.174848429974927101e+06
3.825000000000000000e+04,1.164142521744827740e+06
3.875000000000000000e+04,1.153682858988681575e+06
3.925000000000000000e+04,1.143462311181204394e+06
3.975000000000000000e+04,1.133474080783348996e+06
4.025000000000000000e+04,1.123711684376847232e+06
4.075000000000000000e+04,1.114168935008584987e+06
4.125000000000000000e+04,1.104839925639362307e+06
4.175000000000000000e+04,1.095719013666562038e+06
4.225000000000000000e+04,1.086800806396431988e+06
4.275000000000000000e+04,1.078080147402866278e+06
4.325000000000000000e+04,1.069552103693734622e+06
4.375000000000000000e+04,1.061211953665510518e+06
4.425000000000000000e+04,1.053055175757806282e+06
4.475000000000000000e+04,1.045077437766563147e+06
4.525000000000000000e+04,1.037274586758959456e+06
4.575000000000000000e+04,1.029642639571312582e+06
4.625000000000000000e+04,1.022177773838389083e+06
4.675000000000000000e+04,1.014876319512796588e+06
4.725000000000000000e+04,1.007734750843944610e+06
4.775000000000000000e+04,1.000749678796305205e+06
4.825000000000000000e+04,9.939178438680977561e+05
4.875000000000000000e+04,9.872361092942083487e+05
4.925000000000000000e+04,9.807014545951682376e+05
4.975000000000000000e+04,9.743109694633941399e+05
5.025000000000000000e+04,9.680618479648686480e+05
5.075000000000000000e+04,9.619513830319886329e+05
5.125000000000000000e+04,9.559769612363135675e+05
5.175000000000000000e+04,9.501360579040088924e+05
5.225000000000000000e+04,9.444262328310501762e+05
5.275000000000000000e+04,9.388451253865691833e+05
5.325000000000000000e+04,9.333904487670779927e+05
5.375000000000000000e+04,9.280599871911180671e+05
5.425000000000000000e+04,9.228515926840684842e+05
5.475000000000000000e+04,9.177631809474033071e+05
5.525000000000000000e+04,9.127927277342883172e+05
5.575000000000000000e+04,9.079382655027901055e+05
5.625000000000000000e+04,9.031978802338402020e+05
5.675000000000000000e+04,8.985697084005624056e+05
5.725000000000000000e+04,8.940519340808034176e+05
5.775000000000000000e+04,8.896427862062914064e+05
5.825000000000000000e+04,8.853405359438968590e+05
5.875000000000000000e+04,8.811434942005624762e+05
5.925000000000000000e+04,8.770500092478672741e+05
5.975000000000000000e+04,8.730584644596232101e+05
6.025000000000000000e+04,8.691672761592078023e+05
6.075000000000000000e+04,8.653748915711245500e+05
6.125000000000000000e+04,8.616797868719123071e+05
6.175000000000000000e+04,8.580804653367055580e+05
6.225000000000000000e+04,8.545754555777435889e+05
6.275000000000000000e+04,8.511633098708203761e+05
6.325000000000000000e+04,8.478426025659410516e+05
6.375000000000000000e+04,8.446119285789065761e+05
6.425000000000000000e+04,8.414699019606343936e+05
6.475000000000000000e+04,8.384151545413259882e+05
6.525000000000000000e+04,8.354463346461359179e+05
6.575000000000000000e+04,8.325621058795585996e+05
6.625000000000000000e+04,8.297611459760355065e+05
6.675000000000000000e+04,8.270421457141457358e+05
6.725000000000000000e+04,8.244038078915978549e+05
6.775000000000000000e+04,8.218448463587291772e+05
6.825000000000000000e+04,8.193639851081814850e+05
6.875000000000000000e+04,8.169599574184947414e+05
6.925000000000000000e+04,8.146315050494022435e+05
6.975000000000000000e+04,8.123773774865232408e+05
7.025000000000000000e+04,8.101963312335670926e+05
7.075000000000000000e+04,8.080871291500305524e+05
7.125000000000000000e+04,8.060485398323001573e+05
7.175000000000000000e+04,8.040793370363297872e+05
7.225000000000000000e+04,8.021782991400075844e+05
7.275000000000000000e+04,8.003442086434818339e+05
7.325000000000000000e+04,7.985758517055794364e+05
7.375000000000000000e+04,7.968720177146698115e+05
7.425000000000000000e+04,7.952314988922696793e+05
7.475000000000000000e+04,7.936530899278064026e+05
7.525000000000000000e+04,7.921355876429376658e+05
7.575000000000000000e+04,7.906777906838766066e+05
7.625000000000000000e+04,7.892784992402277421e+05
7.675000000000000000e+04,7.879365147889172658e+05
7.725000000000000000e+04,7.866506398617645027e+05
7.775000000000000000e+04,7.854196778353385162e+05
7.825000000000000000e+04,7.842424327417695895e+05
7.875000000000000000e+04,7.831177090992354788e+05
7.925000000000000000e+04,7.820443117608682951e+05
7.975000000000000000e+04,7.810210457808779320e+05
8.025000000000000000e+04,7.800467162967252079e+05
8.075000000000000000e+04,7.791201284262355184e+05
8.125000000000000000e+04,7.782400871785631170e+05
8.175000000000000000e+04,7.774053973779641092e+05
8.225000000000000000e+04,7.766148635993921198e+05
8.275000000000000000e+04,7.758672901149446843e+05
8.325000000000000000e+04,7.751614808502622182e+05
8.375000000000000000e+04,7.744962393499980681e+05
8.425000000000000000e+04,7.738703687515128404e+05
8.475000000000000000e+04,7.732826717660264112e+05
8.525000000000000000e+04,7.727319506664497312e+05
8.575000000000000000e+04,7.722170072811981663e+05
8.625000000000000000e+04,7.717366429933009204e+05
8.675000000000000000e+04,7.712896587441789452e+05
8.725000000000000000e+04,7.708748550414816709e+05
8.775000000000000000e+04,7.704910319704357535e+05
8.825000000000000000e+04,7.701369892081613652e+05
8.875000000000000000e+04,7.698115260404862929e+05
8.925000000000000000e+04,7.695134413807826350e+05
8.975000000000000000e+04,7.692415337904142216e+05
9.025000000000000000e+04,7.689946015004122164e+05
9.075000000000000000e+04,7.687714424339993857e+05
9.125000000000000000e+04,7.685708542296588421e+05
9.175000000000000000e+04,7.683916342644352699e+05
9.225000000000000000e+04,7.682325796771957539e+05
9.275000000000000000e+04,7.680924873916188953e+05
9.325000000000000000e+04,7.679701541386839235e+05
9.375000000000000000e+04,7.678643764784698142e+05
9.425000000000000000e+04,7.677739508210981730e+05
9.475000000000000000e+04,7.676976734467115020e+05
9.525000000000000000e+04,7.676343405249285279e+05
9.575000000000000000e+04,7.675827481378819793e+05
9.625000000000000000e+04,7.675416923215718707e+05
9.675000000000000000e+04,7.675099690691711148e+05
9.725000000000000000e+04,7.674863738452850375e+05
9.775000000000000000e+04,7.674697015042148996e+05
9.825000000000000000e+04,7.674587495936598862e+05
9.875000000000000000e+04,7.674523187457586173e+05
9.925000000000000000e+04,7.674492014913397143e+05
9.975000000000000000e+04,7.674481760172571521e+05
