x,N
2.500000000000000000e+02,8.790090555012106895e+06
7.500000000000000000e+02,7.999577050617382862e+06
1.250000000000000000e+03,7.277536002147146501e+06
1.750000000000000000e+03,6.633407024983117357e+06
2.250000000000000000e+03,6.073157794848131016e+06
2.750000000000000000e+03,5.595008377637648024e+06
3.250000000000000000e+03,5.190024240905047394e+06
3.750000000000000000e+03,4.846501692707933486e+06
4.250000000000000000e+03,4.552863288795018569e+06
4.750000000000000000e+03,4.299270414270919748e+06
5.250000000000000000e+03,4.077887935174840502e+06
5.750000000000000000e+03,3.882679715810059104e+06
6.250000000000000000e+03,3.709011570801645052e+06
6.750000000000000000e+03,3.553278274841031060e+06
7.250000000000000000e+03,3.412641488815361168e+06
7.750000000000000000e+03,3.284846650322428904e+06
8.250000000000000000e+03,3.168075865197732579e+06
8.750000000000000000e+03,3.060851003698395565e+06
9.250000000000000000e+03,2.961956280042765196e+06
9.750000000000000000e+03,2.870382854339234065e+06
1.025000000000000000e+04,2.785285140287724324e+06
1.075000000000000000e+04,2.705948211176964454e+06
1.125000000000000000e+04,2.631763635994357057e+06
1.175000000000000000e+04,2.562209589372266084e+06
1.225000000000000000e+04,2.496835458171810023e+06
1.275000000000000000e+04,2.435249912959348876e+06
1.325000000000000000e+04,2.377111076532931533e+06
1.375000000000000000e+04,2.322118855209889356e+06
1.425000000000000000e+04,2.270008438167550135e+06
1.475000000000000000e+04,2.220545169238809031e+06
1.525000000000000000e+04,2.173520227403857745e+06
1.575000000000000000e+04,2.128747091633792501e+06
1.625000000000000000e+04,2.086058545421778457e+06
1.675000000000000000e+04,2.045304148654468358e+06
1.725000000000000000e+04,2.006348176066969289e+06
1.775000000000000000e+04,1.969067791729325429e+06
1.825000000000000000e+04,1.933351521407383727e+06
1.875000000000000000e+04,1.899097935813397169e+06
1.925000000000000000e+04,1.866214519978232216e+06
1.975000000000000000e+04,1.834616700522721512e+06
2.025000000000000000e+04,1.804226991141058737e+06
2.075000000000000000e+04,1.774974252368921880e+06
2.125000000000000000e+04,1.746793043604375096e+06
2.175000000000000000e+04,1.719623055806820048e+06
2.225000000000000000e+04,1.693408611013037618e+06
2.275000000000000000e+04,1.668098217540712561e+06
2.325000000000000000e+04,1.643644181889563333e+06
2.375000000000000000e+04,1.620002259594739880e+06
2.425000000000000000e+04,1.597131346974997781e+06
2.475000000000000000e+04,1.574993203811870189e+06
2.525000000000000000e+04,1.553552206590498798e+06
2.575000000000000000e+04,1.532775128468046663e+06
2.625000000000000000e+04,1.512630938951077871e+06
2.675000000000000000e+04,1.493090624704402639e+06
2.725000000000000000e+04,1.474127028250293806e+06
2.775000000000000000e+04,1.455714701874259161e+06
2.825000000000000000e+04,1.437829775361960754e+06
2.875000000000000000e+04,1.420449835631722352e+06
2.925000000000000000e+04,1.403553817579126218e+06
2.975000000000000000e+04,1.387121905069526751e+06
3.025000000000000000e+04,1.371135440116388490e+06
3.075000000000000000e+04,1.355576840184630360e+06
3.125000000000000000e+04,1.340429522618539864e+06
3.175000000000000000e+04,1.325677835378726479e+06
3.225000000000000000e+04,1.311306993532395922e+06
3.275000000000000000e+04,1.297303020660014590e+06
3.325000000000000000e+04,1.283652695196694462e+06
3.375000000000000000e+04,1.270343501044792123e+06
3.425000000000000000e+04,1.257363582041637739e+06
3.475000000000000000e+04,1.244701699786564568e+06
3.525000000000000000e+04,1.232347194611409446e+06
3.575000000000000000e+04,1.220289949600600637e+06
3.625000000000000000e+04,1.208520357265448663e+06
3.675000000000000000e+04,1.197029288568863645e+06
3.725000000000000000e+04,1.185808064076578012e+06
3.775000000000000000e+04,1.174848427271584747e+06
3.825000000000000000e+04,1.164142519635404460e+06
3.875000000000000000e+04,1.153682857488421025e+06
3.925000000000000000e+04,1.143462310306024505e+06
3.975000000000000000e+04,1.133474080549825216e+06
4.025000000000000000e+04,1.123711684802199947e+06
4.075000000000000000e+04,1.114168936111057177e+06
4.125000000000000000e+04,1.104839927445731824e+06
4.175000000000000000e+04,1.095719016242298065e+06
4.225000000000000000e+04,1.086800809852438979e+06
4.275000000000000000e+04,1.078080151843603235e+06
4.325000000000000000e+04,1.069552109185199253e+06
4.375000000000000000e+04,1.061211960280773696e+06
4.425000000000000000e+04,1.053055183580703102e+06
4.475000000000000000e+04,1.045077446847843938e+06
4.525000000000000000e+04,1.037274597131862305e+06
4.575000000000000000e+04,1.029642651267914916e+06
4.625000000000000000e+04,1.022177786899941158e+06
4.675000000000000000e+04,1.014876334012411069e+06
4.725000000000000000e+04,1.007734766863030964e+06
4.775000000000000000e+04,1.000749696384708397e+06
4.825000000000000000e+04,9.939178630615961738e+05
4.875000000000000000e+04,9.872361301277180901e+05
4.925000000000000000e+04,9.807014771091103321e+05
4.975000000000000000e+04,9.743109937244533794e+05
5.025000000000000000e+04,9.680618740578227444e+05
5.075000000000000000e+04,9.619514110155359376e+05
5.125000000000000000e+04,9.559769911485404009e+05
5.175000000000000000e+04,9.501360896905154223e+05
5.225000000000000000e+04,9.444262658370353747e+05
5.275000000000000000e+04,9.388451582378211897e+05
5.325000000000000000e+04,9.333904806751690339e+05
5.375000000000000000e+04,9.280600180379273370e+05
5.425000000000000000e+04,9.228516224744053325e+05
5.475000000000000000e+04,9.177632097106744768e+05
5.525000000000000000e+04,9.127927555485675111e+05
5.575000000000000000e+04,9.079382924576217774e+05
5.625000000000000000e+04,9.031979063966625836e+05
5.675000000000000000e+04,8.985697338159192586e+05
5.725000000000000000e+04,8.940519587650120957e+05
5.775000000000000000e+04,8.896428101668293821e+05
5.825000000000000000e+04,8.853405591875283280e+05
5.875000000000000000e+04,8.811435167339957552e+05
5.925000000000000000e+04,8.770500310777834384e+05
5.975000000000000000e+04,8.730584855926915770e+05
6.025000000000000000e+04,8.691672966020903550e+05
6.075000000000000000e+04,8.653749113304791972e+05
6.125000000000000000e+04,8.616798059543925337e+05
6.175000000000000000e+04,8.580804837489613565e+05
6.225000000000000000e+04,8.545754733264240203e+05
6.275000000000000000e+04,8.511633269625711255e+05
6.325000000000000000e+04,8.478426190074071055e+05
6.375000000000000000e+04,8.446119443767326884e+05
6.425000000000000000e+04,8.414699171214659000e+05
6.475000000000000000e+04,8.384151690718109021e+05
6.525000000000000000e+04,8.354463485529279569e+05
6.575000000000000000e+04,8.325621191693176515e+05
6.625000000000000000e+04,8.297611586554317037e+05
6.675000000000000000e+04,8.270421577898630640e+05
6.725000000000000000e+04,8.244038193703358993e+05
6.775000000000000000e+04,8.218448572472053347e+05
6.825000000000000000e+04,8.193639954131330596e+05
6.875000000000000000e+04,8.169599671466847649e+05
6.925000000000000000e+04,8.146315142076184275e+05
6.975000000000000000e+04,8.123773860815810040e+05
7.025000000000000000e+04,8.101963392723134020e+05
7.075000000000000000e+04,8.080871366393436911e+05
7.125000000000000000e+04,8.060485467790950788e+05
7.175000000000000000e+04,8.040793434475791873e+05
7.225000000000000000e+04,8.021783050229242072e+05
7.275000000000000000e+04,8.003442140085027786e+05
