x,N
4.347826086956521863e+02,8.918000000000000000e+03
1.304347826086956502e+03,3.190365771565822070e+05
2.173913043478260988e+03,6.031898746582394233e+05
3.043478260869565020e+03,8.592070723726265132e+05
3.913043478260869961e+03,1.084132158986006631e+06
4.782608695652173992e+03,1.276577255766263464e+06
5.652173913043478024e+03,1.434491142199001508e+06
6.521739130434782965e+03,1.557472105523015372e+06
7.391304347826086996e+03,1.648242133509473177e+06
8.260869565217391937e+03,1.716263856024760054e+06
9.130434782608695969e+03,1.766736354690413689e+06
1.000000000000000000e+04,1.804025935069540516e+06
1.086956521739130403e+04,1.831768601880174363e+06
1.173913043478260806e+04,1.853354602700359887e+06
1.260869565217391391e+04,1.869938922553976299e+06
1.347826086956521794e+04,1.878584233630825067e+06
1.434782608695652198e+04,1.885506425598277012e+06
1.521739130434782601e+04,1.889143399676292902e+06
1.608695652173913186e+04,1.890110874347123550e+06
1.695652173913043589e+04,1.888924096111109247e+06
1.782608695652173992e+04,1.886003991553471191e+06
1.869565217391304395e+04,1.881693976493931608e+06
1.956521739130434798e+04,1.876274875402117847e+06
2.043478260869565202e+04,1.869977115610338980e+06
2.130434782608695605e+04,1.862990888980983058e+06
2.217391304347826008e+04,1.855473922718774760e+06
2.304347826086956775e+04,1.847329366341968300e+06
2.391304347826087178e+04,1.837000327544498025e+06
2.478260869565217581e+04,1.827449872720701387e+06
2.565217391304347984e+04,1.818136304922278039e+06
2.652173913043478387e+04,1.810284249398153974e+06
2.739130434782608791e+04,1.804566371686689556e+06
2.826086956521739194e+04,1.791892566204163013e+06
2.913043478260869597e+04,1.787974951390384696e+06
3.000000000000000000e+04,1.784491717739061685e+06
3.086956521739130403e+04,1.779626524042810313e+06
3.173913043478260806e+04,1.774458269491807325e+06
3.260869565217391209e+04,1.763655206255981699e+06
3.347826086956521613e+04,1.758318667216222733e+06
3.434782608695652743e+04,1.752242956622518366e+06
3.521739130434782419e+04,1.745138799928497756e+06
3.608695652173913550e+04,1.737420698434812948e+06
3.695652173913043225e+04,1.728383266948480858e+06
3.782608695652174356e+04,1.718657473525268259e+06
3.869565217391304031e+04,1.709227037997529609e+06
3.956521739130435162e+04,1.700105935748575954e+06
4.043478260869564838e+04,1.690078665984104155e+06
4.130434782608695969e+04,1.677694385965886526e+06
4.217391304347825644e+04,1.667390244769278681e+06
4.304347826086956775e+04,1.656934146202304401e+06
4.391304347826086450e+04,1.646210563690337352e+06
4.478260869565217581e+04,1.636130654074362246e+06
4.565217391304347257e+04,1.625698463261577999e+06
4.652173913043478387e+04,1.610867016986379400e+06
4.739130434782609518e+04,1.601182101580494083e+06
4.826086956521739194e+04,1.591398022939276649e+06
4.913043478260870324e+04,1.581228584877054906e+06
5.000000000000000000e+04,1.570737078495847294e+06
5.086956521739131131e+04,1.559922963070595404e+06
5.173913043478260806e+04,1.548787717900210759e+06
5.260869565217391937e+04,1.537538709678638028e+06
5.347826086956521613e+04,1.526200620340666501e+06
5.434782608695652743e+04,1.514684004762317287e+06
5.521739130434782419e+04,1.502847923293214291e+06
5.608695652173913550e+04,1.490189838037960231e+06
5.695652173913043225e+04,1.476547946039608913e+06
5.782608695652174356e+04,1.462632064576667966e+06
5.869565217391304031e+04,1.448544770674181404e+06
5.956521739130435162e+04,1.433957157911044545e+06
6.043478260869564838e+04,1.417891215712878853e+06
6.130434782608695969e+04,1.397171221995121567e+06
6.217391304347825644e+04,1.362637074345069937e+06
6.304347826086956775e+04,1.310356895770614967e+06
6.391304347826086450e+04,1.259432351553766755e+06
6.478260869565217581e+04,1.205205530907290755e+06
6.565217391304348712e+04,1.169656571869343519e+06
6.652173913043478387e+04,1.148256017538044835e+06
6.739130434782608063e+04,1.136192748787583783e+06
6.826086956521739194e+04,1.130717270183463348e+06
6.913043478260870324e+04,1.130119485115206568e+06
7.000000000000000000e+04,1.133267363676715642e+06
7.086956521739129676e+04,1.139376447907012654e+06
7.173913043478260806e+04,1.147884651657970389e+06
7.260869565217391937e+04,1.158379466774216155e+06
7.347826086956521613e+04,1.170553252093573101e+06
7.434782608695651288e+04,1.184174505161301233e+06
7.521739130434783874e+04,1.199068711670441320e+06
7.608695652173913550e+04,1.215105181955633219e+06
7.695652173913043225e+04,1.232187776791294105e+06
7.782608695652174356e+04,1.250248252918207785e+06
7.869565217391305487e+04,1.269241428976579569e+06
7.956521739130435162e+04,1.289141658824955346e+06
8.043478260869564838e+04,1.309940274814303266e+06
8.130434782608695969e+04,1.331643776335070143e+06
8.217391304347827099e+04,1.354272612772634020e+06
8.304347826086956775e+04,1.377860460020957747e+06
8.391304347826086450e+04,1.402453925220996141e+06
8.478260869565217581e+04,1.428112639697797364e+06
8.565217391304348712e+04,1.454909719112086343e+06
8.652173913043478387e+04,1.482932583939801902e+06
8.739130434782608063e+04,1.512284143061315874e+06
8.826086956521739194e+04,1.543084347560487455e+06
8.913043478260870324e+04,1.575472117970709456e+06
9.000000000000000000e+04,1.609607630195127567e+06
9.086956521739129676e+04,1.645674901700486196e+06
9.173913043478260806e+04,1.683884528879724443e+06
9.260869565217391937e+04,1.724476248863202753e+06
9.347826086956521613e+04,1.767720660632884363e+06
9.434782608695652743e+04,1.813918803917895304e+06
9.521739130434783874e+04,1.863397106283552712e+06
9.608695652173913550e+04,1.916493005076034926e+06
9.695652173913043225e+04,1.973522508502592565e+06
9.782608695652174356e+04,2.034713721719353693e+06
9.869565217391305487e+04,2.100078077488300856e+06
9.956521739130435162e+04,2.169172610595528036e+06
