x,N
4.347826086956521863e+02,8.918000000000000000e+03
1.304347826086956502e+03,3.244908743624358322e+05
2.173913043478260988e+03,6.173813095667570597e+05
3.043478260869565020e+03,8.917787213607010199e+05
3.913043478260869961e+03,1.150586014445849927e+06
4.782608695652173992e+03,1.395740595956200035e+06
5.652173913043478024e+03,1.628293516428323463e+06
6.521739130434782965e+03,1.848336743525092723e+06
7.391304347826086996e+03,2.054869641425445909e+06
8.260869565217391937e+03,2.245745184776250739e+06
9.130434782608695969e+03,2.417894612104255240e+06
1.000000000000000000e+04,2.568001134253977332e+06
1.086956521739130403e+04,2.693562060473782942e+06
1.173913043478260806e+04,2.793904007127076853e+06
1.260869565217391391e+04,2.870568358808801044e+06
1.347826086956521794e+04,2.926854797877627891e+06
1.434782608695652198e+04,2.966877768720184918e+06
1.521739130434782601e+04,2.994680992787064519e+06
1.608695652173913186e+04,3.013712706806546077e+06
1.695652173913043589e+04,3.026658036377788987e+06
1.782608695652173992e+04,3.035489050406658556e+06
1.869565217391304395e+04,3.041601377657725010e+06
1.956521739130434798e+04,3.045960354367254302e+06
2.043478260869565202e+04,3.049224661036922131e+06
2.130434782608695605e+04,3.051840268518190365e+06
2.217391304347826008e+04,3.054107850785600021e+06
2.304347826086956775e+04,3.056229635736273602e+06
2.391304347826087178e+04,3.058341395087435842e+06
2.478260869565217581e+04,3.060534088988484815e+06
2.565217391304347984e+04,3.062868454800946172e+06
2.652173913043478387e+04,3.065384834559194278e+06
2.739130434782608791e+04,3.068109804546252359e+06
2.826086956521739194e+04,3.071060659230997320e+06
2.913043478260869597e+04,3.074248453744545579e+06
3.000000000000000000e+04,3.077680075357393827e+06
3.086956521739130403e+04,3.081359658591258805e+06
3.173913043478260806e+04,3.085289554918312933e+06
3.260869565217391209e+04,3.089470998994477093e+06
3.347826086956521613e+04,3.093904567340274807e+06
3.434782608695652743e+04,3.098590494570089504e+06
3.521739130434782419e+04,3.103528891561949160e+06
3.608695652173913550e+04,3.108719895978977438e+06
3.695652173913043225e+04,3.114163776070744265e+06
3.782608695652174356e+04,3.119861002220081165e+06
3.869565217391304031e+04,3.125812296276013833e+06
3.956521739130435162e+04,3.132018665670108050e+06
4.043478260869564838e+04,3.138481427211380098e+06
4.130434782608695969e+04,3.145202223997209687e+06
4.217391304347825644e+04,3.152183037863257807e+06
4.304347826086956775e+04,3.159426199087401852e+06
4.391304347826086450e+04,3.166934394567463081e+06
4.478260869565217581e+04,3.174710675345710944e+06
4.565217391304347257e+04,3.182758464110301342e+06
4.652173913043478387e+04,3.191081563134269789e+06
4.739130434782609518e+04,3.199684162994882558e+06
4.826086956521739194e+04,3.208570852335107978e+06
4.913043478260870324e+04,3.217746628874467686e+06
5.000000000000000000e+04,3.227216911840659101e+06
5.086956521739131131e+04,3.236987555971575435e+06
5.173913043478260806e+04,3.247064867225528229e+06
5.260869565217391937e+04,3.257455620333311614e+06
5.347826086956521613e+04,3.268167078327398747e+06
5.434782608695652743e+04,3.279207014189702924e+06
5.521739130434782419e+04,3.290583734769310337e+06
5.608695652173913550e+04,3.302306107134658843e+06
5.695652173913043225e+04,3.314383587540527806e+06
5.782608695652174356e+04,3.326826253208841663e+06
5.869565217391304031e+04,3.339644837143352721e+06
5.956521739130435162e+04,3.352850766222038772e+06
6.043478260869564838e+04,3.366456202837362420e+06
6.130434782608695969e+04,3.380474090383678675e+06
6.217391304347825644e+04,3.394918202923439443e+06
6.304347826086956775e+04,3.409803199397473130e+06
6.391304347826086450e+04,3.425144682785557117e+06
6.478260869565217581e+04,3.440959264663955197e+06
6.565217391304348712e+04,3.457264635649131611e+06
6.652173913043478387e+04,3.474079642269872129e+06
6.739130434782608063e+04,3.491424370858754963e+06
6.826086956521739194e+04,3.509320239109308925e+06
6.913043478260870324e+04,3.527790096001919825e+06
7.000000000000000000e+04,3.546858330859361682e+06
7.086956521739129676e+04,3.566550992349758279e+06
7.173913043478260806e+04,3.586895918308688793e+06
7.260869565217391937e+04,3.607922877298489213e+06
7.347826086956521613e+04,3.629663722856635228e+06
7.434782608695651288e+04,3.652152561398007441e+06
7.521739130434783874e+04,3.675425934716835618e+06
7.608695652173913550e+04,3.699523017967293505e+06
7.695652173913043225e+04,3.724485833864690736e+06
7.782608695652174356e+04,3.750359483611333650e+06
7.869565217391305487e+04,3.777192394668515306e+06
7.956521739130435162e+04,3.805036584908798803e+06
8.043478260869564838e+04,3.833947941806115210e+06
8.130434782608695969e+04,3.863986514037844259e+06
8.217391304347827099e+04,3.895216811018632259e+06
8.304347826086956775e+04,3.927708103231093381e+06
8.391304347826086450e+04,3.961534712443229277e+06
8.478260869565217581e+04,3.996776275558075402e+06
8.565217391304348712e+04,4.033517958300691564e+06
8.652173913043478387e+04,4.071850584334441926e+06
8.739130434782608063e+04,4.111870630488196388e+06
8.826086956521739194e+04,4.153680017864391673e+06
8.913043478260870324e+04,4.197385599324781448e+06
9.000000000000000000e+04,4.243098202974707820e+06
9.086956521739129676e+04,4.290931034397139214e+06
9.173913043478260806e+04,4.340997161700313911e+06
9.260869565217391937e+04,4.393405699477832764e+06
9.347826086956521613e+04,4.448256161534146406e+06
9.434782608695652743e+04,4.505630258018839173e+06
9.521739130434783874e+04,4.565580162668989040e+06
9.608695652173913550e+04,4.628111970452486537e+06
9.695652173913043225e+04,4.693162726249055006e+06
9.782608695652174356e+04,4.760569098257512785e+06
9.869565217391305487e+04,4.830025651591613889e+06
9.956521739130435162e+04,4.901031054271350615e+06
