x,N
3.546099290780142042e+02,8.918000000000000000e+03
1.063829787234042669e+03,2.611990371435454872e+05
1.773049645390070964e+03,4.967210953946424997e+05
2.482269503546099259e+03,7.151348746043869760e+05
3.191489361702128008e+03,9.143208852135774214e+05
3.900709219858156303e+03,1.092802717860647943e+06
4.609929078014184597e+03,1.250268616242273943e+06
5.319148936170213346e+03,1.386847217694926076e+06
6.028368794326241186e+03,1.503068376794839976e+06
6.737588652482269936e+03,1.599987074632518226e+06
7.446808510638298685e+03,1.679195546277850168e+06
8.156028368794326525e+03,1.742588932744781952e+06
8.865248226950356184e+03,1.792353821931556799e+06
9.574468085106382205e+03,1.830585467191261472e+06
1.028368794326241186e+04,1.858813529924139613e+06
1.099290780141844152e+04,1.878210865827315254e+06
1.170212765957446754e+04,1.890130088814333547e+06
1.241134751773049720e+04,1.896108129375074990e+06
1.312056737588652686e+04,1.897945805932345567e+06
1.382978723404255288e+04,1.897775437975496519e+06
1.453900709219858254e+04,1.897011253422743874e+06
1.524822695035461220e+04,1.895765523641445441e+06
1.595744680851063822e+04,1.892707736713529332e+06
1.666666666666666788e+04,1.886404871666475199e+06
1.737588652482269390e+04,1.876862501751413569e+06
1.808510638297872356e+04,1.864826170996218454e+06
1.879432624113475322e+04,1.851010640323541826e+06
1.950354609929078288e+04,1.836038599072409328e+06
2.021276595744680890e+04,1.820418818560367916e+06
2.092198581560283856e+04,1.804535943888726179e+06
2.163120567375886458e+04,1.788630568954952527e+06
2.234042553191489424e+04,1.772807250317999627e+06
2.304964539007092390e+04,1.757019056825171225e+06
2.375886524822695355e+04,1.741183245270681335e+06
2.446808510638297957e+04,1.725334486670399783e+06
2.517730496453900923e+04,1.709650388248435920e+06
2.588652482269503525e+04,1.694238151326964842e+06
2.659574468085106491e+04,1.679042433717386564e+06
2.730496453900709457e+04,1.663858347337684128e+06
2.801418439716312423e+04,1.648329924430648796e+06
2.872340425531915025e+04,1.631971029995280318e+06
2.943262411347517991e+04,1.614241931684336858e+06
3.014184397163120593e+04,1.594763718180335127e+06
3.085106382978723559e+04,1.573718916954545071e+06
3.156028368794326525e+04,1.551694410455383360e+06
3.226950354609929491e+04,1.529195688308958430e+06
3.297872340425531729e+04,1.506579387070503784e+06
3.368794326241135423e+04,1.483997284937154735e+06
3.439716312056737661e+04,1.461074920491421130e+06
3.510638297872340627e+04,1.436319865827766713e+06
3.581560283687943593e+04,1.406433312476307619e+06
3.652482269503545831e+04,1.371212885639829328e+06
3.723404255319149524e+04,1.333953840205861023e+06
3.794326241134751763e+04,1.289006018721590750e+06
3.865248226950355456e+04,1.245307632637313800e+06
3.936170212765957695e+04,1.212566255548991961e+06
4.007092198581559933e+04,1.188061312525460031e+06
4.078014184397163626e+04,1.169115946539718425e+06
4.148936170212765865e+04,1.154042936120518716e+06
4.219858156028369558e+04,1.141761755750096869e+06
4.290780141843971796e+04,1.131549023138276301e+06
4.361702127659574762e+04,1.122901874603020027e+06
4.432624113475177728e+04,1.115460466334573692e+06
4.503546099290779966e+04,1.108961604400011012e+06
4.574468085106383660e+04,1.103209664070338011e+06
4.645390070921985898e+04,1.098057764605966862e+06
4.716312056737588864e+04,1.093395453190000262e+06
4.787234042553191830e+04,1.089141778889400419e+06
4.858156028368794068e+04,1.085246734634696739e+06
4.929078014184397762e+04,1.081712820180518320e+06
5.000000000000000000e+04,1.078649837407389889e+06
5.070921985815603693e+04,1.076426971931548789e+06
5.141843971631205932e+04,1.075915069383514347e+06
5.212765957446808170e+04,1.077952590504908934e+06
5.283687943262411864e+04,1.082410852000577375e+06
5.354609929078014102e+04,1.088218665211869869e+06
5.425531914893617795e+04,1.094340270421890542e+06
5.496453900709220034e+04,1.100578950089144986e+06
5.567375886524822999e+04,1.107375705384725938e+06
5.638297872340425965e+04,1.115069473634868860e+06
5.709219858156028204e+04,1.123698941794161685e+06
5.780141843971631897e+04,1.133058628696326399e+06
5.851063829787234135e+04,1.142538450773276854e+06
5.921985815602837829e+04,1.151301448826748645e+06
5.992907801418440067e+04,1.158786082818579627e+06
6.063829787234042305e+04,1.164994271717783296e+06
6.134751773049645999e+04,1.170534434177868301e+06
6.205673758865248237e+04,1.176581760268777143e+06
6.276595744680851931e+04,1.184531432347553549e+06
6.347517730496454169e+04,1.195391304416859522e+06
6.418439716312057135e+04,1.209498884895306779e+06
6.489361702127660101e+04,1.226540967434885679e+06
6.560283687943263794e+04,1.245543588734351331e+06
6.631205673758866033e+04,1.265051983692079782e+06
