x,N
3.546099290780142042e+02,8.918000000000000000e+03
1.063829787234042669e+03,2.626720806012890534e+05
1.773049645390070964e+03,4.995983854839183041e+05
2.482269503546099259e+03,7.191451319329929538e+05
3.191489361702128008e+03,9.193320414859249722e+05
3.900709219858156303e+03,1.099122126944671618e+06
4.609929078014184597e+03,1.257821052613211330e+06
5.319148936170213346e+03,1.395158511493336642e+06
6.028368794326241186e+03,1.512326806842316873e+06
6.737588652482269936e+03,1.612268356137679657e+06
7.446808510638298685e+03,1.696605872017906746e+06
8.156028368794326525e+03,1.764988221358386101e+06
8.865248226950356184e+03,1.818456039077072870e+06
9.574468085106382205e+03,1.859498748784266645e+06
1.028368794326241186e+04,1.890803407315518474e+06
1.099290780141844152e+04,1.914933034008544171e+06
1.170212765957446754e+04,1.934079977543347981e+06
1.241134751773049720e+04,1.947180225421230542e+06
1.312056737588652686e+04,1.954277319381758105e+06
1.382978723404255288e+04,1.956987198680071393e+06
1.453900709219858254e+04,1.956097175781609491e+06
1.524822695035461220e+04,1.951224246463325806e+06
1.595744680851063822e+04,1.942862220457421383e+06
1.666666666666666788e+04,1.931695359319355572e+06
1.737588652482269390e+04,1.917800878187109716e+06
1.808510638297872356e+04,1.901495139133399352e+06
1.879432624113475322e+04,1.885143194388166070e+06
1.950354609929078288e+04,1.870065209722516127e+06
2.021276595744680890e+04,1.857131796618060907e+06
2.092198581560283856e+04,1.848427600273669697e+06
2.163120567375886458e+04,1.844058293425109703e+06
2.234042553191489424e+04,1.840426725032973569e+06
2.304964539007092390e+04,1.834276597783878678e+06
2.375886524822695355e+04,1.824758546687272144e+06
2.446808510638297957e+04,1.812529999366260367e+06
2.517730496453900923e+04,1.798494398610546254e+06
2.588652482269503525e+04,1.783340174844399327e+06
2.659574468085106491e+04,1.767668914067875827e+06
2.730496453900709457e+04,1.751937056242728140e+06
2.801418439716312423e+04,1.736423219492875738e+06
2.872340425531915025e+04,1.721300064099353505e+06
2.943262411347517991e+04,1.706627803519710898e+06
3.014184397163120593e+04,1.692380594497438753e+06
3.085106382978723559e+04,1.678463184852144215e+06
3.156028368794326525e+04,1.664787817971828394e+06
3.226950354609929491e+04,1.651265574895454105e+06
3.297872340425531729e+04,1.637710068872720934e+06
3.368794326241135423e+04,1.623806212784707313e+06
3.439716312056737661e+04,1.609188241184328916e+06
3.510638297872340627e+04,1.593432804014217807e+06
3.581560283687943593e+04,1.575919688565163407e+06
3.652482269503545831e+04,1.555105390153565444e+06
3.723404255319149524e+04,1.528634085220841924e+06
3.794326241134751763e+04,1.493530370604846161e+06
3.865248226950355456e+04,1.449807202241017949e+06
3.936170212765957695e+04,1.410253574014747748e+06
4.007092198581559933e+04,1.368896645797279198e+06
4.078014184397163626e+04,1.322221032856976381e+06
4.148936170212765865e+04,1.290137811529954430e+06
4.219858156028369558e+04,1.270038229617389617e+06
4.290780141843971796e+04,1.257186182149589062e+06
4.361702127659574762e+04,1.247221898960168241e+06
4.432624113475177728e+04,1.235372075032863999e+06
4.503546099290779966e+04,1.228391828434824012e+06
4.574468085106383660e+04,1.227386191552050412e+06
4.645390070921985898e+04,1.230326110390302725e+06
4.716312056737588864e+04,1.236968278298792662e+06
4.787234042553191830e+04,1.247549425235368311e+06
4.858156028368794068e+04,1.260903348234636709e+06
4.929078014184397762e+04,1.274784945992513094e+06
5.000000000000000000e+04,1.287280330224085134e+06
5.070921985815603693e+04,1.297542668759021442e+06
5.141843971631205932e+04,1.305544746721326374e+06
5.212765957446808170e+04,1.311576505633795168e+06
5.283687943262411864e+04,1.315980737829094054e+06
5.354609929078014102e+04,1.319073029634446371e+06
5.425531914893617795e+04,1.321123776475977385e+06
5.496453900709220034e+04,1.322357129237974761e+06
5.567375886524822999e+04,1.322955362352998462e+06
5.638297872340425965e+04,1.323064967296755873e+06
5.709219858156028204e+04,1.322802896649610018e+06
5.780141843971631897e+04,1.322262280666833976e+06
5.851063829787234135e+04,1.321517379760413896e+06
5.921985815602837829e+04,1.320627756250890205e+06
5.992907801418440067e+04,1.319641760160533944e+06
6.063829787234042305e+04,1.318599493480550358e+06
6.134751773049645999e+04,1.317535538484816905e+06
6.205673758865248237e+04,1.316481778179296060e+06
6.276595744680851931e+04,1.315470708682978991e+06
6.347517730496454169e+04,1.314541869315962307e+06
6.418439716312057135e+04,1.313759226322938921e+06
6.489361702127660101e+04,1.313275622945125913e+06
6.560283687943263794e+04,1.313499207606359851e+06
6.631205673758866033e+04,1.315189511590904556e+06
6.702127659574468271e+04,1.319748278612012044e+06
6.773049645390070509e+04,1.328790093354156706e+06
6.843971631205674203e+04,1.342601989465238992e+06
6.914893617021277896e+04,1.360691624061221723e+06
6.985815602836880134e+04,1.382299602372077759e+06
7.056737588652482373e+04,1.406148945380988298e+06
7.127659574468084611e+04,1.430679218748792307e+06
7.198581560283688304e+04,1.454494761070675449e+06
7.269503546099291998e+04,1.476614903553899145e+06
7.340425531914894236e+04,1.496715505913030589e+06
7.411347517730496475e+04,1.515564088509313995e+06
7.482269503546098713e+04,1.535360733602953842e+06
7.553191489361702406e+04,1.558449146369060967e+06
7.624113475177306100e+04,1.585120654209945118e+06
7.695035460992908338e+04,1.613831767345246626e+06
7.765957446808510576e+04,1.642747960100300377e+06
7.836879432624114270e+04,1.670362302236291813e+06
7.907801418439716508e+04,1.695781666915189009e+06
7.978723404255320202e+04,1.718708083587895846e+06
8.049645390070922440e+04,1.739169944635056658e+06
8.120567375886524678e+04,1.757364480981648900e+06
8.191489361702128372e+04,1.773687368842493044e+06
8.262411347517730610e+04,1.789100865935532143e+06
8.333333333333334303e+04,1.805823710452313302e+06
8.404255319148936542e+04,1.827047170889341738e+06
8.475177304964538780e+04,1.854497466761440504e+06
8.546099290780142474e+04,1.886911931414144579e+06
8.617021276595746167e+04,1.921820746454057284e+06
8.687943262411348405e+04,1.957274189001625171e+06
8.758865248226950644e+04,1.992038933261558646e+06
8.829787234042552882e+04,2.025363710532664554e+06
8.900709219858156575e+04,2.056782093236069195e+06
8.971631205673760269e+04,2.086009904131626245e+06
9.042553191489362507e+04,2.112911340951829217e+06
